epoch,train_loss,val_loss,val_dsc,val_iou,lr
1,0.92715,0.74285,0.7894,0.7753,0.001000
2,0.61789,0.54676,0.7690,0.7574,0.000997
3,0.55199,0.53279,0.7601,0.7470,0.000989
4,0.53070,0.50987,0.8139,0.7997,0.000976
5,0.51633,0.49849,0.8203,0.8025,0.000957
6,0.50814,0.49420,0.8324,0.8194,0.000933
7,0.51205,0.49100,0.8302,0.8169,0.000905
8,0.50854,0.49344,0.8459,0.8281,0.000872
9,0.50091,0.49179,0.8227,0.8005,0.000835
10,0.49766,0.47555,0.8834,0.8664,0.000794
11,0.49532,0.47849,0.8645,0.8479,0.000750
12,0.49653,0.47262,0.8869,0.8712,0.000704
13,0.49139,0.47917,0.8664,0.8467,0.000655
14,0.48837,0.47272,0.8723,0.8566,0.000604
15,0.48590,0.47033,0.8887,0.8729,0.000553
16,0.48453,0.47429,0.8468,0.8264,0.000501
17,0.48275,0.46823,0.8760,0.8571,0.000448
18,0.48206,0.46864,0.8691,0.8517,0.000397
19,0.48334,0.46675,0.8751,0.8563,0.000346
20,0.47956,0.46830,0.8860,0.8695,0.000297
21,0.47976,0.46445,0.8780,0.8595,0.000251
22,0.47794,0.46655,0.8681,0.8477,0.000207
23,0.48116,0.46471,0.8794,0.8606,0.000166
24,0.47836,0.46382,0.8781,0.8596,0.000129
25,0.47616,0.46319,0.8810,0.8623,0.000096
26,0.47530,0.46283,0.8841,0.8652,0.000068
27,0.47488,0.46229,0.8815,0.8627,0.000044
28,0.47385,0.46201,0.8785,0.8596,0.000025
29,0.47537,0.46200,0.8778,0.8588,0.000012
30,0.47390,0.46201,0.8769,0.8581,0.000004
