epoch,train_loss,val_loss,val_dsc,val_iou,lr
1,0.70727,0.55828,0.2589,0.2081,0.001000
2,0.47518,0.41628,0.3674,0.3212,0.000997
3,0.41378,0.39317,0.3608,0.3225,0.000989
4,0.39276,0.37832,0.3338,0.2914,0.000976
5,0.38168,0.37281,0.3749,0.3245,0.000957
6,0.38017,0.39571,0.4571,0.4215,0.000933
7,0.37609,0.35846,0.4167,0.3436,0.000905
8,0.36595,0.35847,0.4735,0.4077,0.000872
9,0.36640,0.39118,0.5805,0.5423,0.000835
10,0.36049,0.36384,0.3959,0.3353,0.000794
11,0.35957,0.37137,0.5777,0.5176,0.000750
12,0.35797,0.34996,0.6179,0.5573,0.000704
13,0.35434,0.35078,0.6113,0.5507,0.000655
14,0.35478,0.35099,0.5437,0.4765,0.000604
15,0.36024,0.34961,0.5278,0.4568,0.000553
16,0.35320,0.34901,0.6097,0.5495,0.000501
17,0.35328,0.34772,0.5660,0.5091,0.000448
18,0.35264,0.34730,0.5463,0.4852,0.000397
19,0.35321,0.34385,0.5695,0.5041,0.000346
20,0.34909,0.34206,0.5874,0.5230,0.000297
21,0.34780,0.33932,0.6359,0.5725,0.000251
22,0.34682,0.34655,0.5438,0.4825,0.000207
23,0.34416,0.34038,0.6068,0.5433,0.000166
24,0.34457,0.33775,0.6094,0.5461,0.000129
25,0.34502,0.33631,0.6169,0.5520,0.000096
26,0.34212,0.33828,0.5935,0.5295,0.000068
27,0.34219,0.33688,0.5944,0.5311,0.000044
28,0.34225,0.33594,0.6055,0.5420,0.000025
29,0.34114,0.33442,0.6178,0.5549,0.000012
30,0.34232,0.33534,0.6154,0.5521,0.000004
